input,time
49,1951
50,3814
51,4633
52,3766
53,5705
54,786
55,787
56,956
57,344741
58,352502
59,255
60,7976
61,3745
62,7046
63,5229
64,3028
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,12
11,13
12,14
13,15
14,18
15,19
16,20
17,21
18,32
19,33
20,34
21,35
22,38
23,41
24,42
25,71
26,74
27,75
28,78
29,81
30,84
31,87
32,90
33,93
34,126
35,189
36,200
37,207
38,828
39,835
40,838
41,1347
42,1372
43,1385
44,1434
45,1497
46,4700
47,5667
48,24380
49,69413
50,3538
51,4439
52,380
53,28595
54,28596
55,46243
56,46366
57,94279
58,86906
59,11125
60,11164
61,1201
62,1370
63,869
64,2366
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,37
32,38
33,39
34,44
35,45
36,50
37,69
38,88
39,95
40,108
41,109
42,148
43,149
44,158
45,71
46,170
47,177
48,182
49,187
50,200
51,219
52,232
53,1469
54,1538
55,1539
56,2838
57,3125
58,3876
59,3877
60,4528
61,5487
62,6918
63,6943
64,6432
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,25
24,26
25,27
26,28
27,29
28,30
29,31
30,34
31,45
32,46
33,47
34,48
35,49
36,54
37,93
38,96
39,97
40,100
41,101
42,70
43,85
44,86
45,87
46,94
47,209
48,1144
49,1155
50,1206
51,2389
52,3164
53,3509
54,3552
55,4641
56,5782
57,6547
58,3684
59,10939
60,18074
61,20825
62,57302
63,120729
64,202444
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,12
11,13
12,14
13,15
14,16
15,17
16,18
17,21
18,22
19,23
20,26
21,29
22,30
23,31
24,32
25,33
26,40
27,41
28,66
29,69
30,84
31,91
32,92
33,93
34,94
35,95
36,100
37,109
38,114
39,139
40,188
41,191
42,198
43,215
44,222
45,251
46,882
47,1425
48,1586
49,8199
50,13926
51,2457
52,2836
53,2867
54,1492
55,2151
56,2702
57,2963
58,13692
59,39831
60,2258
61,4987
62,5402
63,2357
64,436
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,26
25,27
26,28
27,29
28,30
29,31
30,36
31,37
32,38
33,57
34,138
35,139
36,156
37,163
38,242
39,317
40,322
41,329
42,422
43,509
44,514
45,673
46,674
47,215
48,224
49,401
50,436
51,47759
52,64284
53,142423
54,191746
55,68285
56,28682
57,41629
58,3320268
59,6560981
60,17681954
61,13511
62,35062
63,61459
64,13158
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,29
26,34
27,37
28,38
29,39
30,52
31,69
32,78
33,79
34,80
35,147
36,160
37,161
38,162
39,163
40,164
41,169
42,274
43,277
44,410
45,1747
46,3618
47,93
48,94
49,95
50,334
51,411
52,442
53,597
54,614
55,732987
56,1149202
57,1366915
58,755112
59,1126377
60,1838230
61,5982077
62,15831094
63,47330609
64,115201796
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,17
14,18
15,19
16,20
17,21
18,22
19,23
20,24
21,25
22,28
23,29
24,30
25,31
26,46
27,47
28,174
29,175
30,176
31,177
32,178
33,179
34,182
35,183
36,184
37,225
38,226
39,417
40,428
41,433
42,836
43,837
44,838
45,1083
46,1538
47,1543
48,2970
49,5075
50,2494
51,2599
52,2618
53,7365
54,7956
55,8007
56,440
57,575
58,582
59,575
60,224
61,255
62,898
63,313
64,238
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
20,20
21,39
22,40
23,41
24,42
25,43
26,56
27,57
28,58
29,59
30,60
31,61
32,62
33,67
34,68
35,75
36,80
37,81
38,82
39,97
40,122
41,147
42,148
43,303
44,304
45,321
46,580
47,1005
48,1590
49,2061
50,2236
51,2637
52,2360
53,2361
54,3456
55,8073
56,19246
57,25819
58,120472
59,290123
60,553412
61,703629
62,186398
63,143231
64,14096
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,63
36,72
37,113
38,122
39,123
40,136
41,143
42,144
43,369
44,506
45,801
46,634
47,663
48,1624
49,5065
50,6062
51,6233
52,14464
53,39039
54,102392
55,204441
56,279818
57,863031
58,7968
59,19849
60,19874
61,4907
62,966
63,975
64,3542
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,31
30,32
31,33
32,34
33,35
34,38
35,39
36,40
37,41
38,84
39,85
40,142
41,143
42,198
43,199
44,376
45,377
46,378
47,385
48,430
49,473
50,502
51,1623
52,1832
53,319
54,476
55,695
56,860
57,741
58,614
59,1015
60,1446
61,1325
62,884
63,1041
64,360
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,20
17,21
18,22
19,25
20,26
21,27
22,28
23,29
24,30
25,31
26,32
27,33
28,34
29,35
30,36
31,37
32,42
33,97
34,100
35,163
36,168
37,263
38,264
39,277
40,288
41,289
42,300
43,533
44,604
45,605
46,468
47,469
48,472
49,481
50,832
51,877
52,906
53,923
54,5686
55,7137
56,9670
57,1725
58,366
59,1079
60,536
61,703
62,5332
63,12893
64,1362042
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,11
10,12
11,13
12,14
13,15
14,16
15,17
16,18
17,19
18,20
19,21
20,24
21,25
22,26
23,35
24,44
25,45
26,46
27,47
28,50
29,53
30,56
31,57
32,58
33,61
34,66
35,67
36,74
37,93
38,128
39,129
40,132
41,133
42,134
43,149
44,162
45,165
46,1540
47,1931
48,2506
49,2511
50,6056
51,6075
52,4220
53,5647
54,7634
55,16381
56,16400
57,9157
58,10562
59,25773
60,38766
61,159893
62,6300
63,15711
64,3112
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,31
30,32
31,33
32,34
33,35
34,36
35,37
36,38
37,39
38,44
39,47
40,62
41,63
42,134
43,135
44,146
45,143
46,190
47,221
48,634
49,637
50,1502
51,1745
52,1776
53,1777
54,1780
55,23817
56,23868
57,29657
58,115534
59,115753
60,700624
61,700707
62,746952
63,746953
64,1772864
